run_id,scenario,timestamp,algorithm,dataset,threads,su,reg,iteration,status,runtime_ms,cpu_time_ms,preprocess_ms,peak_heap_mb,total_patterns_found,candidate_count,explored_nodes,pruned_tier1_eucs,pruned_tier2_peu,pruned_tier2_la_peu,pruned_node_cond,pruned_tier3_reg
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:07.808846,RHusp_seq,BIBLE,1,0.01,0.02,1,SUCCESS,2333,2331,0,472,574,5919619,8865,0,5910754,0,1,6504
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:10.661268,RHusp_seq,BIBLE,1,0.01,0.02,2,SUCCESS,2331,2329,0,472,574,5919619,8865,0,5910754,0,1,6504
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:13.529336,RHusp_seq,BIBLE,1,0.01,0.02,3,SUCCESS,2338,2337,0,472,574,5919619,8865,0,5910754,0,1,6504
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:18.308049,Prop_seq,BIBLE,1,0.01,0.02,1,SUCCESS,1855,1,35,391,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:20.706156,Prop_seq,BIBLE,1,0.01,0.02,2,SUCCESS,1861,1,35,391,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:23.079993,Prop_seq,BIBLE,1,0.01,0.02,3,SUCCESS,1853,0,31,391,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:24.749858,Prop_par,BIBLE,10,0.01,0.02,1,SUCCESS,295,3,11,439,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:25.589643,Prop_par,BIBLE,10,0.01,0.02,2,SUCCESS,301,3,9,471,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:10:26.429145,Prop_par,BIBLE,10,0.01,0.02,3,SUCCESS,306,3,9,439,574,185584,4273,54804,0,126507,0,2523
FULL_SC1_1781593802020,SC1,2026-06-16T14:21:28.026736,RHusp_seq,FIFA,1,0.04,0.05,1,SUCCESS,330471,330285,0,4935,123,1135715941,1286073,0,1134429868,0,573,1
FULL_SC1_1781593802020,SC1,2026-06-16T14:26:58.894287,RHusp_seq,FIFA,1,0.04,0.05,2,SUCCESS,330330,330154,0,4935,123,1135715941,1286073,0,1134429868,0,573,1
FULL_SC1_1781593802020,SC1,2026-06-16T14:32:29.679839,RHusp_seq,FIFA,1,0.04,0.05,3,SUCCESS,330259,330091,0,4935,123,1135715941,1286073,0,1134429868,0,573,1
FULL_SC1_1781593802020,SC1,2026-06-16T14:37:59.791865,Prop_seq,FIFA,1,0.04,0.05,1,SUCCESS,164526,2,72,4935,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:40:44.856408,Prop_seq,FIFA,1,0.04,0.05,2,SUCCESS,164526,1,75,4935,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:43:29.894928,Prop_seq,FIFA,1,0.04,0.05,3,SUCCESS,164508,1,72,4935,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:44:22.071996,Prop_par,FIFA,10,0.04,0.05,1,SUCCESS,25936,8,24,4938,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:44:48.442751,Prop_par,FIFA,10,0.04,0.05,2,SUCCESS,25869,8,25,4938,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:14.750220,Prop_par,FIFA,10,0.04,0.05,3,SUCCESS,25807,8,26,4939,123,119574390,520107,50806077,0,68248206,0,0
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:16.016520,RHusp_seq,LEVIATHAN,1,0.0015,0.01,1,SUCCESS,173,172,0,248,240,807526,55070,0,752456,0,0,54826
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:16.621521,RHusp_seq,LEVIATHAN,1,0.0015,0.01,2,SUCCESS,182,181,0,248,240,807526,55070,0,752456,0,0,54826
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:17.222644,RHusp_seq,LEVIATHAN,1,0.0015,0.01,3,SUCCESS,182,181,0,248,240,807526,55070,0,752456,0,0,54826
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:18.394801,Prop_seq,LEVIATHAN,1,0.0015,0.01,1,SUCCESS,147,0,6,55,240,5867,5424,240,0,203,0,5180
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:18.979011,Prop_seq,LEVIATHAN,1,0.0015,0.01,2,SUCCESS,158,0,8,55,240,5867,5424,240,0,203,0,5180
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:19.556809,Prop_seq,LEVIATHAN,1,0.0015,0.01,3,SUCCESS,155,0,8,55,240,5867,5424,240,0,203,0,5180
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:20.474055,Prop_par,LEVIATHAN,10,0.0015,0.01,1,SUCCESS,31,1,3,87,240,5867,5424,240,0,203,0,5180
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:20.927116,Prop_par,LEVIATHAN,10,0.0015,0.01,2,SUCCESS,31,1,4,87,240,5867,5424,240,0,203,0,5180
FULL_SC1_1781593802020,SC1,2026-06-16T14:45:21.385705,Prop_par,LEVIATHAN,10,0.0015,0.01,3,SUCCESS,32,1,3,87,240,5867,5424,240,0,203,0,5180
