dataset,threads,median_ms,speedup,efficiency
BIBLE,1,1849,1.0,1.0
BIBLE,2,997,1.855,0.927
BIBLE,4,470,3.934,0.984
BIBLE,8,336,5.503,0.688
BIBLE,10,298,6.205,0.62
SYN,1,6350,1.0,1.0
SYN,2,3389,1.874,0.937
SYN,4,1949,3.258,0.815
SYN,8,1484,4.279,0.535
SYN,10,1420,4.472,0.447
FIFA,1,164464,1.0,1.0
FIFA,2,85957,1.913,0.957
FIFA,4,47193,3.485,0.871
FIFA,8,30291,5.429,0.679
FIFA,10,26051,6.313,0.631
LEVIATHAN,1,160,1.0,1.0
LEVIATHAN,2,92,1.739,0.87
LEVIATHAN,4,57,2.807,0.702
LEVIATHAN,8,38,4.211,0.526
LEVIATHAN,10,34,4.706,0.471
